Original_Code,Correct_Descriptive_Name,Has_Text_Version
Q35n,Personal_Want_Job_In_Field,True
Q36,Living_Area_Type,False
Q37,Receiving_Financial_Aid,True
Q38,Have_Job,True
Q39,Economic_Status,True
Q40a,Personality_Outgoing_Sociable,True
Q40b,Personality_Helpful_Unselfish,True
Q40c,Personality_Neat_Tidy,True
Q40d,Personality_Relaxed_Handles_Stress,True
Q40e,Personality_Curious,True
Q40f,Personality_Determined,True
Q40g,Personality_Respectful,True
Q40h,Personality_Persistent,True
Q40i,Personality_Secure_Comfortable,True
Q40j,Personality_Values_Art_Beauty,True
Q40k,Personality_Full_Of_Energy,True
Q40l,Personality_Assumes_Best,True
Q40m,Personality_Dependable,True
Q40n,Personality_Emotionally_Stable,True
Q40o,Personality_Original_New_Ideas,True
Q41,General_Views_About_ChatGPT,False
Q42,Email_For_Results,False
